No;name;description;Bahan_Masakan;Bahan_Utama;Cara_Masak;Usia_Min;Usia_Max;Tekstur;Est_Harga;Kalori_(kkal);Protein_(g);Lemak_(g);Zat_Besi_(mg);Seng_(mg);Tag_Makanan;Potensi_Alergi;Image_URL
196;Bubur Susu Bayam Keju;Bubur susu bayam keju adalah menu MPASI super gurih yang kaya akan zat besi dari bayam untuk mencegah anemia dan kalsium dari keju untuk pertumbuhan tulang. Kombinasi tekstur yang creamy dan rasa gurih alami keju dijamin akan menjadi favorit baru yang meningkatkan nafsu makan si kecil.;"2 genggam daun bayam, rebus

100 g labu kuning

3 sdm tepung beras

250 air matang

1 sdt susu formula

2 sdt keju cheddar parut";Bayam;"Blender daun bayam dan labu kuning. Beri tepung beras, air matang, dan susu formula. Aduk rata.

Masak sambil aduk sampai matang dan kental. Tambahkan keju parut diatasnya.";6;12;Bubur Kental;7500;104,9;3,2;1,2;0,5;0,3;Gizi Seimbang;Keju, Tepung Beras, Susu, Labu Kuning;recipes/bubur_susu_bayam_keju.jpg
197;Bubur Susu Bayam Udang;Bubur Susu Ayam Udang adalah menu MPASI lengkap yang mengombinasikan dua sumber protein hewani (double protein) untuk mendukung pertumbuhan optimal si Kecil. Perpaduan gurihnya daging ayam dan manis alami dari udang segar memberikan cita rasa yang sangat disukai bayi, sekaligus membantu mencegah Gerakan Tutup Mulut (GTM).;"1 genggam daun bayam rebus

30 g udang

2 sdm tepung hunkwe

1 sdt susu formula

1/4 sdt garam

1/4 sdt gula pasir";Udang, Bayam;"Satukan bayam, udang, dan air matang. Haluskan dengan blender.

Tambahkan tepung hunkwe, susu formula, garam, dan gula. Aduk sampai larut.

Masak bubur sambil aduk sampai matang.";12;24;Bubur Kasar;11000;70;3,5;0,6;0,8;1;Gizi Seimbang;Udang, Susu, Tepung Hunkwe;recipes/bubur_susu_bayam_udang.jpg
198;Bubur Susu Bayam Wortel;Bubur Susu Bayam Wortel adalah pilihan MPASI yang sempurna untuk memperkenalkan rasa sayuran kepada si Kecil. Kombinasi warna hijau segar dari bayam dan oranye terang dari wortel menciptakan tampilan menarik yang dapat meningkatkan nafsu makan bayi.;"1 genggam daun bayam

1/2 buah wortel

100 ml susu formula

100 ml air matang

1 sdm tepung beras";Bayam, Wortel;"Satukan daun bayam, wortel, susu, dan air matang. Haluskan dnegan blender. Tambahkan tepung beras, aduk rata.

Panaskan bubur dengan api sedang sambil aduk sampai matang, angkat.";6;10;Bubur halus;7000;90,5;3,7;2,9;0,6;1,2;Gizi Seimbang;Susu, Tepung Beras;recipes/bubur_susu_bayam_wortel.jpg
199;Bubur Susu Beras Merah Brokoli;Bubur Susu Beras Merah Brokoli adalah perpaduan karbohidrat kompleks dari beras merah utuh dengan kesegaran sayuran hijau dari brokoli. Teksturnya yang lembut namun kaya serat menjadikan menu ini pilihan ideal untuk menjaga energi si Kecil tetap stabil sekaligus mendukung kesehatan sistem pencernaannya.;"6 kuntum brokoli bersih

300 ml air

2 sdm tepung beras merah

1 sdt susu formula";Tepung Beras, Brokoli;"Rendam brokoli dengan air garam, rebus sampai matang dan empuk

Haluskan brokoli, campur dengan air, tepung beras merah, dan susu formula. Aduk rata.

Masak bubur sambil aduk sampai matang.";12;24;Bubur Kental;8500;59,9;1,5;0,8;0,3;0,6;Gizi Seimbang;Susu, Tepung Beras;recipes/bubur_susu_beras_merah_brokoli.jpg
200;Bubur Susu Biskuit Kacang Hijau;Bubur Susu Biskuit Kacang Hijau adalah menu MPASI transisi yang populer karena teksturnya yang sangat lembut dan aromanya yang menggugah selera. Menu ini menggabungkan biskuit bayi yang mudah lumat dengan sari kacang hijau yang kaya nutrisi, lalu disempurnakan dengan tambahan susu (ASI atau sufor) untuk rasa yang lebih creamy.;"1 sdm kacang hijau rebus

200 ml susu formula

4 keping biskuit marie";Kacang Hijau;"Satukan kacang hijau dengan susu. Haluskan dengan blender.

Tambahkan biskuit yang sudah di hancurkan. Tunggu sejenak dan aduk rata.";6;10;Bubur Kental;7000;178,7;3,5;1,7;0,8;1;Penambah Berat Badan;Kacang Hijau, Susu;recipes/bubur_susu_biskuit_kacang_hijau.jpg
201;Bubur Susu Buah Campur;Bubur Susu Buah Campur adalah hidangan MPASI yang mengombinasikan kelembutan bubur susu dengan kesegaran berbagai jenis buah-buahan tropis. Menu ini sangat efektif untuk memperkenalkan aneka rasa alami serta aroma buah kepada bayi sejak dini.;"1 buah pisang ambon

50 g pepaya

50 g pir

1 sdm air jeruk manis

1 sdm tepung maizena

1 sdt susu formula

200 ml air";Pisang;"Campurkan semua buah dan aduk rata.

Beri tepung maizena, susu formula, dan air matang. Aduk sampai rata. Masak sampai kental dan mendidih.";6;9;Bubur halus;9000;121,9;1,7;0,9;1,2;0,8;Gizi Seimbang;Tepung Maizena, Susu;recipes/bubur_susu_buah_campur.jpg
202;Bubur Susu Campur Pepaya;Bubur Susu Campur Pepaya adalah menu MPASI yang memadukan kelembutan bubur susu dengan manis alami buah pepaya matang yang segar. Menu ini menjadi favorit banyak ibu karena teksturnya yang sangat halus dan licin, sehingga sangat mudah ditelan oleh bayi yang baru memulai fase makan.;"3 sdm tepung beras

200 ml air matang

3 sdt susu formula

100 g daging buah pepaya matang";Tepung Beras;"Larutkan tepung beras dengan air matang. Tambahkan susu formula. Aduk.

Masak sambil aduk sampai matang dan aduk.

Campur bubur dengan buah pepaya, haluskan dengan blender.";9;12;Bubur Kental;7000;108,4;2,9;1,5;0,3;0,5;Gizi Seimbang;Tepung Beras, Susu;recipes/bubur_susu_campur_pepaya.jpg
203;Bubur Susu Campur Tahu;Bunda, Bubur Susu Campur Tahu adalah kombinasi unik yang menawarkan tekstur sangat halus dan rasa yang cenderung netral namun gurih. ;"50 g tahu putih

50 g labu kuning

100 ml air matang

100 ml susu formula

1 sdm tepung beras";Tahu;"Satukan tahu, labu kuning yang sudah di rebus, dan air matang. Haluskan dengan blender. 

Campurkan dengan susu formula dan tepung beras, aduk rata

Panaskan dengan api sedang sambil aduk sampai matang.";6;12;Bubur Halus;8000;116,4;5,8;4,2;0,7;1,3;Peninggi Badan;Tepung Beras, Susu, Tahu, Labu Kuning;recipes/bubur_susu_campur_tahu.jpg
204;Bubur Susu Oat;Bubur Susu Oat adalah menu MPASI tinggi serat yang sangat baik untuk menjaga kesehatan pencernaan si Kecil. Berbeda dengan beras, oat memberikan tekstur yang lebih creamy dan rasa gurih alami yang unik.;"3 sdm oat

300 ml air matang

2 sdt susu formula

1/2 sdt gulan pasir";Oat;"Aduk havermut dengan air matang. Beri susu formula dan sedikit gula.

Masak dengan api kecil sambil aduk sampai havermut hancur.";6;9;Bubur Halus;8500;36,3;1,4;1,1;0,1;0,3;Gizi Seimbang;Susu, Oat;recipes/bubur_susu_oat.jpg
205;Bubur Susu Oat Keju;Bubur Susu Oat Keju adalah perpaduan antara karbohidrat kompleks dari oat dengan gurihnya keju dan lembutnya susu. Menu ini memiliki cita rasa yang sangat disukai bayi karena kombinasi rasa gurih dan creamy.;"3 sdm oat

300 ml air matang

2 sdt susu formula

1/2 sdt gulan pasir

50 g tahu sutra

1 sdt keju parut";Oat;"Hancurkan tahu sutra dnegan sendok. Campurkan tahu dan havermut dengan air matang. Beri susu formula dan sedikit gula.

Masak dengan api kecil sambil aduk sampai havermut hancur.

Beri taburan keju diatasnya.";6;9;Bubur Halus;10000;53,9;3,5;2,4;2,1;1,8;Gizi Seimbang;Oat, Susu, Keju, Tahu;recipes/bubur_susu_oat_keju.jpg
206;Bubur Susu Jagung Manis;Bubur Susu Jagung Manis adalah menu MPASI yang memadukan butiran jagung manis segar dengan kelembutan bubur susu. Warna kuningnya yang cerah secara alami menarik perhatian si Kecil untuk mencoba, sementara rasa manis aslinya sering kali menjadi solusi ampuh untuk bayi yang sedang pilih-pilih makanan.;"3 sdm tepung hunkwe

250 susu formula

1 tongkol jagung manis parut";Jagung;"Larutkan tepung dengan susu formula dan tambahkan jagung, aduk rata.

Panaskan bubur dengan api sedang sambil aduk sampai matang.";9;12;Bubur Kental;7000;269,7;9,5;7,9;0,3;0,7;Penambah Berat Badan;Tepung Hunkwe, Susu, Jagung;recipes/bubur_susu_jagung_manis.jpg
207;Bubur Susu Jagung Manis dengan Ubi;Bubur Susu Jagung Manis dengan Ubi adalah perpaduan dua sumber energi alami yang sangat ramah di lidah bayi. Rasa manis khas jagung segar menyatu sempurna dengan kelembutan ubi, menciptakan tekstur yang kental dan creamy.;"100 g ubi manis

1 tongkol jagung manis parut";Ubi, Jagung;"Kukus ubi sampai matang, haluskan dan sisihkan.

Campur jagung manis dengan ubi, air matang, dan susu formula. Aduk rata.

Masak sambil aduk sampai matang.";12;24;Bubur Kental;8000;106,2;3,1;1,3;0,2;1,1;Gizi Seimbang;Ubi, Jagung;recipes/bubur_susu_jagung_manis_dengan_ubi.jpg
208;Bubur Susu Jagung Melon;Bubur Susu Jagung Melon adalah menu MPASI yang sangat menyegarkan, memadukan manisnya sari jagung dengan kelembutan buah melon yang kaya air. Perpaduan ini menghasilkan rasa yang ringan namun tetap gurih karena tambahan susu. ;"3 sdm tepung hunkwe

250 susu formula

1 tongkol jagung manis parut

100 g melon";Jagung, Melon;"Parut halus daging melon. Larutkan tepung dengan susu formula dan tambahkan jagung, aduk rata.

Panaskan bubur dengan api sedang sambil aduk sampai matang.";6;12;Bubur Halus;7000;57,7;1,6;0,9;1;0,5;Gizi Seimbang;Tepung Hunkwe, Susu, Jagung;recipes/bubur_susu_jagung_melon.jpg
209;Bubur Susu Kacang Hijau;Menu klasik yang tak lekang oleh waktu. Bubur ini memiliki aroma yang sangat harum dan rasa gurih yang khas. Kacang hijau yang diolah hingga menjadi sari lembut memberikan tekstur yang licin dan mudah dicerna, menjadikannya salah satu menu perkenalan protein nabati terbaik untuk bayi.;"100 g kacang hijau

225 ml susu formula

1 sdt gula merah";Kacang Hijau;"Haluskan kacang hijau dengan blender. Campur dengan susu formula, aduk sampai larut dan tambahkan gula merah.

Panaskan bubur dengan api kecil sampai matang. Tambahkan sedikit air panas.";6;9;Bubur Halus;6000;233,5;11,4;6,9;0,3;0,6;Peninggi Badan;Kacang Hijau, Susu;recipes/bubur_susu_kacang_hijau.jpg
210;Bubur Susu Kacang Merah;"Kacang merah memiliki tekstur yang lebih ""berdaging"" dan creamy. Bubur susu kacang merah memberikan rasa yang lebih mantap dan mengenyangkan. Warnanya yang merah kecokelatan menarik secara visual dan biasanya memberikan rasa manis alami yang lebih pekat setelah dicampur dengan susu.";"150 g kacang merah

4 lembar daun seledri

50 g tahu putih

50 g susu

150 ml air rebusan

1 sdm tepung beras";Kacang Merah;"Rebus kacang merah sampai empuk dan merekah.  Haluskan dengan blender bersama tahu putih. 

Campur dengan susu formula dan tepung beras.

Panaskan bubur sambil aduk sampai kental dan matang";12;24;Bubur Kental;6500;334,7;21,7;4,1;2,4;1;Penambah Berat Badan;Kacang Hijau, Susu, Tepung Beras, Tahu;recipes/bubur_susu_kacang_merah.jpg
211;Bubur Susu Kacang Polong Ubi Merah;Bubur Susu Kacang Polong Ubi Merah adalah menu MPASI lengkap yang mengombinasikan karbohidrat kompleks dari ubi merah dengan protein nabati dari kacang polong. Teksturnya yang creamy berkat campuran susu menjadikannya pilihan tepat untuk mengenalkan aneka rasa baru bagi bayi usia 12 bulan ke atas.;"100 g kacang polong rebus

50 g ubi merah rebus

300 ml air matang

1 sdm tepung beras";Kacang Polong, Ubi Merah;"Satukan kacang polong, ubi merah, dan air. Haluskan dengan blender.

Tuang ke dalam panci. Tambahkan tepung beras, aduk rata.

Masak bubur sambil aduk sampai matang.";12;24;Bubur Kental;6000;79,3;3,6;0,6;0,3;0,4;Gizi Seimbang;Kacang polong, Ubi Merah, Tepung Beras;recipes/bubur_susu_kacang_polong_ubi_merah.jpg
212;Bubur Susu Kentang;Bubur Susu Kentang merupakan alternatif sumber karbohidrat kompleks yang kaya akan kalium untuk mendukung fungsi saraf dan perkembangan otak bayi. Tambahan susu memberikan asupan kalsium dan lemak sehat yang penting untuk pertumbuhan tulang.;"2 butir kentang

200 ml susu formula

50 ml air matang

2 sdt tepung beras";Kentang;"Kupas kentang yang sudah di rebus. Campur kentang dengan susu formula, air matang, dan tepung beras. Aduk rata.

Panaskan bubur dengan api kecil sambil aduk sampai matang dan kental.";9;12;Bubur Halus;6000;287,7;9,6;5,8;1,8;1;Penambah Berat Badan;Kentang, Tepung Beras, Susu;recipes/bubur_susu_kentang.jpg
213;Bubur Susu Kentang Bit;Bunda, Menu ini alternatif sehat pengganti bubur nasi. Menggunakan bahan dasar kentang kukus yang lembut dan buah bit merah yang kaya antioksidan. Dibuat dengan tekstur puree halus yang disaring sempurna, lalu dicairkan dengan ASI atau susu formula sesuai kebutuhan. Rasa manis alaminya dijamin disukai bayi!;"2 butir kentang

75 g bit

200 ml susu formula

50 ml air matang

2 sdt tepung beras";Kentang;"Kupas kentang dan bit yang sudah di rebus. Campur kentang dengan susu formula, air matang, dan tepung beras. Aduk rata.

Panaskan bubur dengan api kecil sambil aduk sampai matang dan kental.";9;12;Bubur Halus;9000;301,1;11,7;8,7;2,5;1,9;Gizi Seimbang;Kentang, Tepung Beras, Susu;recipes/bubur_susu_kentang_bit.jpg
214;Bubur Susu Labu Kuning; Bubur Susu Labu Kuning memiliki rasa manis alami dan tekstur yang sangat lembut, sehingga sangat ramah untuk awal perkenalan MPASI (6 bulan+). Perpaduan labu kuning yang dikukus halus dengan ASI atau susu formula menciptakan aroma gurih yang membantu meningkatkan nafsu makan bayi.;"100 g labu kuninig rebus

1 genggam daun bayam

2 buah kuning telur rebus

400 ml air matang

1 sdt susu formula

2 sdm tepung beras

2 sdt keju parut";Labu Kuning, Bayam;"Campur labu kuning , bayam, dan air matang. Haluskan dengan blender.

Tambahkan susu formula dan tepung beras, aduk rata.

Panaskan di atas api sambil aduk sampai matang. Angkat dan beri keju diatasnya.";6;9;Bubur Kental;7500;151,7;7,2;6,3;1,9;1,3;Penambah Berat Badan;Keju, Telur, Tepung Beras, Susu, Labu Kuning;recipes/bubur_susu_labu_kuning.jpg
215;Bubur Susu Makaroni;Bubur Susu Makaroni menawarkan tekstur yang lebih bervariasi untuk melatih kemampuan mengunyah si Kecil yang sudah semakin mahir. Dengan basis susu yang creamy dan makaroni yang lembut, menu ini memberikan rasa gurih alami yang mirip dengan mac and cheese versi sehat dan ramah anak.;"100 g makaroni rebus

1 buah kuning telur rebus

50 g kacang polong rebus

200 ml air matang

1 sdm tepung beras

1 sdt susu formula

2 sdt keju parut";Makaroni;"Satukan macaroni, kuning telur, kacang polong, dan air. Haluskan dengan blender.

Tuang ke dalam panci. Tambahkan te[ung beras dan garam, aduk rata.

Masak sambil aduk sampai matang dan kental. Angkat dan taburi keju.";12;24;Bubur Kental;8000;251,3;9,5;4,3;1,5;0,8;Penambah Berat Badan;Keju, Telur, Tepung Beras, Susu, Kacang Polong;recipes/bubur_susu_makaroni.jpg
216;Bubur Susu Manis;Menu dasar yang paling disukai untuk perkenalan pertama MPASI. Teksturnya yang sangat halus dan rasa manis alami dari susu (ASI/Sufor) membuatnya mudah diterima oleh lidah bayi yang masih sensitif.;"4 sdm tepung beras

300 ml susu formula

1/2 sdt gula pasir";Tepung Beras;"Larutkan tepung beras dengan susu formula. Tambahkan gula pasir dan aduk sampai larut.

Panaskan dengan abi sambil aduk sampai matang dan kental, Angkat.";6;9;Bubur Kental;5000;284,8;11,1;8,6;1,3;0,3;Gizi Seimbang;Tepung Beras, Susu;recipes/bubur_susu_manis.jpg
217;Bubur Susu Pisang;Peningkat nafsu makan alami! Perpaduan pisang yang lembut dan susu menciptakan rasa manis legit yang menggugah selera. Tekstur pisang yang creamy memberikan rasa kenyang yang lebih lama bagi si Kecil.;"4 sdm tepung hunkwe

250 ml susu formula

1 buah pisang ambon

100 ml air matang";Pisang;"Larutkan tepung dan susu formula, panaskan dengan api sedang dan aduk rata.

Belnder pisang dengan air matang, masukkan kedalam masakan tepung. Aduk sampai kental dan matang.";9;12;Bubur Kental;7000;307,6;8,3;7,05;2,8;1,7;Penambah Berat Badan;Tepung Hunkwe, Susu;recipes/bubur_susu_pisang.jpg
218;Bubur Susu Roti Tawar;Bubur Susu Roti Tawar adalah menu MPASI praktis yang sering menjadi penyelamat saat Bunda butuh sajian cepat namun tetap bernutrisi dan mengenyangkan.;"2 lembar roti tawar tanpa kulit

200 ml susu formula

1/2 sdt keju parut";Roti Tawar;"Sobek-sobek roti tawar, rendam dalam larutan susu formula sampai mengembang.

Haluskan roti, campur keju parut. Aduk sampai rata.";9;12;Bubur Kental;6500;173,9;8,2;6,4;1,7;1,2;Penambah Berat Badan;Roti Tawar, Susu;recipes/bubur_susu_roti_tawar.jpg
219;Bubur Susu Sari Kedelai;Bubur Susu Sari Kedelai adalah pilihan menu MPASI yang sangat bagus, terutama bagi si Kecil yang membutuhkan variasi protein nabati atau sebagai alternatif jika si Kecil memiliki kecenderungan sensitif terhadap susu sapi.;"75 g tempe kukus

75 g tahu kukus

300 ml susu kedelai

2 sdm tepung maizena

1/4 sdt garam";Tempe, Tahu;"Satukan tempe, tahu, dan susu kedelai. Haluskan dengan blender. Tuang ke dalam panis, tambahkan tepung maizena dan garam. Aduk rata.

Panaskan bubur sambil aduk sampai matang.";9;12;Bubur Kental;7000;396,6;33,8;19,5;3,1;2,8;Penambah Berat Badan;Tepung Maizena, Susu Kedelai, Tahu, Tempe ;recipes/bubur_susu_sari_kedelai.jpg
220;Bubur Susu Sayuran;Hadirkan kebaikan protein nabati dalam mangkuk si Kecil! Bubur Susu Sari Kedelai menawarkan rasa gurih yang khas dan lembut. Perpaduan tepung beras berkualitas dengan sari kedelai murni menciptakan tekstur yang creamy dan ringan di perut, sangat cocok untuk mengenalkan aneka rasa baru yang sehat sejak dini.;"6 kuntum brokoli

2 sdm wortel parut

300 ml susu formula

2 sdm tepung beras";Tepung Beras, Brokoli;"Blender brokoli dan wortel rebus dan sedikit air matang sampai halus. Campur dengan tepung beras dan susu formula, aduk rata.

Panaskan bubur sambil aduk sampai tepung matang dan bubur kental.";6;12;Bubur Kental;6000;254,4;11,4;8,7;1,8;2,1;Gizi Seimbang;Tepung Beras, Susu;recipes/bubur_susu_sayuran.jpg
221;Bubur Susu Tomat Merah;Bunda, MPASI bubur susu tomat merah kaya vitamin A, vitamin C, kalsium, dan antioksidan yang baik untuk mendukung pertumbuhan, daya tahan tubuh, serta kesehatan tulang bayi.;"2 butir tomat merah

2 sdm tepung beras

2 sdm tepung maizena

1 sdt gula pasir

250 ml susu formula";Tomat, Tepung Beras;"Rendam tomat dalam air mendidih dan diamkan selama 3 menit. Belah tomat dan buang bijinya.

Blender tomat dengan sedikit air matang. Campur dengan tepung beras, tepung maizena, gula pasir, dan susu formula.

Panaskan bubur sambil aduk sampai matang dan kental.";6;9;Bubur Kental;6000;237,7;8,7;6,7;1,7;0,9;Penambah Berat Badan;Tepung Beras, Susu, Tepung Maizena;recipes/bubur_susu_tomat_merah.jpg
222;Bubur Susu Ubi Jalar;Bunda, MPASI bubur susu ubi jalar kaya serat, vitamin A, karbohidrat, dan kalsium yang baik untuk mendukung energi, kesehatan pencernaan, serta pertumbuhan bayi.;"150 g ubi jalar

200 ml susu Formula

1 sdt gula merah

2 sdm tepung beras";Ubi Jalar;"Satukan ubi merah rebus dengan susu formula dan gula merah, haluskan dengan blender.

Campur ubi dengan tepung beras, aduk rata. Panaskan dengan api sedang sambil aduk sampai matang";9;12;Bubur Kental;6000;261,9;8,4;5,8;1,2;0,6;Penambah Berat Badan;Ubi Merah, Susu, Tepung Beras;recipes/bubur_susu_ubi_jalar.jpg
223;Bubur Ubi Susu Kedelai;MPASI bubur ubi susu kedelai merupakan pilihan menu bergizi untuk si kecil karena kaya akan serat, protein nabati, vitamin, dan kalsium. Kandungan nutrisinya membantu mendukung energi, pertumbuhan tulang, serta kesehatan pencernaan bayi. Teksturnya yang lembut juga cocok untuk membantu bunda mengenalkan makanan pendamping ASI secara bertahap.;"150 g ubi merah

50 g Tahu

150 ml susu kedelai";Ubi Jalar;"Kukus ubi jalar sampai matang dan kupas kulitnya.

Haluskan ubi jalar, tahu, dan Susu kedelai dengan blender, sajikan";9;12;Bubur Kental;6000;425,5;26,3;15,9;1;0,8;Gizi Seimbang;Ubi Jalar, Tahu, Susu Kedelai;recipes/bubur_ubi_susu_kedelai.jpg
224;Bubur Ubi Mangga Susu;MPASI bubur ubi mangga susu kaya akan vitamin A, vitamin C, serat, dan kalsium yang baik untuk mendukung daya tahan tubuh, kesehatan pencernaan, serta pertumbuhan si kecil. Perpaduan rasa manis alami ubi dan mangga juga membuat MPASI ini lebih lezat dan disukai bayi, sehingga cocok menjadi pilihan menu sehat harian bunda.;"150 g ubi jalar putih

50 g mangga arum manis

150 ml susu kedelai";Ubi Jalar, Mangga;"Cuci ubi jalar sampai bersih, kukus sampai matang dan kupas kulitnya.

Satukan ubi, mangga, dan susu kedelai, blender sampai halus.";8;12;Bubur Halus;7000;214,4;13,7;7,5;0,4;0,8;Penambah Berat Badan;Ubi Jalar, Susu Kedelai;recipes/bubur_ubi_mangga_susu.jpg
225;Nasi Tim Bayam Merah;MPASI nasi tim bayam merah kaya akan zat besi, serat, vitamin, dan karbohidrat yang baik untuk mendukung energi, pertumbuhan, serta kesehatan pencernaan si kecil. Teksturnya yang lebih padat juga cocok untuk melatih kemampuan mengunyah anak, sehingga menjadi pilihan menu sehat dan bergizi bagi bunda untuk si kecil.;"200 g nasi putih

1/4 potong tahu cina

50 g labu siam

200 ml kaldu sapi

25 g bayam merah, ambil daunnya

1/4 sdt garam";Nasi, Bayam;"Tim nasi putih bersama tahu, labu siam, dan air kaldu sapi. Aduk sampai matang.

Masukkan bayam merah dan garam, aduk sampai bayam layu. Angkat";12;24;Nasi Tim;8000;325,6;10,4;3,1;0,7;2,1;Gizi Seimbang;Labu Siam, Tahu, Kaldu Sapi;recipes/nasi_tim_bayam_merah.jpg
226;Nasi Tim campur Tempe;MPASI nasi tim campur tempe kaya akan protein nabati, karbohidrat, serat, serta vitamin dan mineral yang baik untuk mendukung pertumbuhan, energi, dan daya tahan tubuh si kecil. Teksturnya yang lembut namun padat nutrisi cocok untuk anak usia 1 tahun ke atas sebagai menu sehat harian pilihan bunda.;"50 g tempe

3 lembar daun salam

150 g nasi merah

25 g buncis muda

25 g jagung pipil

300 ml air kaldu daging

20 g keju parut";Nasi, Tempe;"Kukus tempe bersama daun salam selama 15 menit. Angkat dan sisihkan.

Tim nasi merah bersama buncis, jagung, dan tempe. Tambahkan keju parut dan aduk sampai matang.";12;24;Nasi Tim;7000;410,3;17,8;6,3;1,8;1,4;Penambah Berat Badan;Nasi, Tempe, Jagung, Kaldu Sapi;recipes/nasi_tim_campur_tempe.jpg
227;Nasi Tim Kacang Merah;MPASI nasi tim kacang merah kaya akan protein, zat besi, serat, dan karbohidrat yang baik untuk mendukung pertumbuhan, pembentukan energi, serta kesehatan pencernaan si kecil. Dengan tekstur yang lembut dan bergizi, menu ini cocok menjadi pilihan sehat harian bunda untuk anak usia 1 tahun ke atas.;"50 g fillet ikan salmon

1/4 jeruk nipis

100 g nasi putih

100 g kacang merah

250 ml air

1 batang daun bawang";Nasi, Ikan Salmon;"Lumuri fillet salmon dengan jeruk nipis, diamkan 15 menit.

Rebus kacang merah sampai matang, cincang. Satukan kacang dengan nasi putih, ikan salmon, dan air.

Tim nasi dan aduk sesekali sampai matang. Tambahkan daun bawang dan aduk sampai matang.";12;24;Nasi Tim;24000;5524;37,6;2,1;3,6;2,8;Gizi Seimbang;Nasi, Ikan Salmon, Kacang Merah;recipes/nasi_tim_kacang_merah.jpg
228;Nasi Tim Udang;MPASI nasi tim udang kaya akan protein, omega-3, kalsium, dan zat besi yang baik untuk mendukung pertumbuhan, perkembangan otak, serta kesehatan tulang si kecil. Teksturnya yang lembut dan rasa gurih alami membuat menu ini cocok menjadi pilihan makanan bergizi harian bunda untuk anak usia 1 tahun ke atas.;"150 g nasi putih

250 ml kaldu ayam

50 g udang

20 g tomat

10 g daun sawi hijau

1/4 sdt garam";Nasi, Udang, Ayam;"Tim nasi bersama kaldu ayam dengan api kecil.

Tambahkan udang, tomat, daun sawi, dan garam. Lanjutkan memasak sambil sesekali di aduk sampai matang.";12;24;Nasi Tim;11000;260,2;13,6;1,6;2,1;0,7;Peninggi Badan;Nasi, Udang, Kaldu Ayam;recipes/nasi_tim_udang.jpg
229;Nasi Tim Kuah Santan;MPASI nasi tim kuah santan dengan ayam dan jagung manis kaya akan protein, lemak sehat, karbohidrat, serta vitamin dan mineral yang baik untuk mendukung energi dan pertumbuhan si kecil. Tambahan daun melinjo dan jagung manis juga memberikan serat serta nutrisi alami yang baik untuk pencernaan anak, sehingga cocok menjadi menu lezat dan bergizi pilihan bunda;"1 sdm minyak goreng

1 siung bawang putih

1 sayat daging dan kulit ayam

150 santan cair

200 ml air kaldu ayam 

1/3 sdt garam

1/3 sdt gula pasir

3 lembar daun melinjo

50 g jagung manis pipil";Nasi, Ayam;"Panaskan minyak, tumis bawang putih, beras, daging dan kulit ayam sampai harum. Masukkan santan cair, garam, dan gula pasir. Masak sampai santan terserap.

Masukkan tumisan ke dalam mangkok tahan panas, Tambahkan air kaldu, irisan daun melinjo, dan jagung tumbuk, aduk rata. Kukus sampai nasi tim matang.";12;24;Nasi Tim;9000;333;10,3;17,8;3,1;2,7;Gizi Seimbang;Nasi, Kulit Ayam, Jagung;recipes/nasi_tim_kuah_santan.jpg
230;Nasi Tim Telur;"MPASI nasi tim telur kaya akan protein, lemak sehat, vitamin, dan mineral yang baik untuk mendukung pertumbuhan, perkembangan otak, serta energi si kecil. Teksturnya yang lembut dan rasa gurih alami menjadikan menu ini pilihan bergizi dan lezat untuk bunda sajikan setiap hari.
";"300 g nasi merah

1 kuning telur ayam kampung

75 g wortel

50 g jagung manis pipil, tumbuk kasar

200 ml kaldu ayam

1/2 buah tomat

1/4 sdt garam";Ayam, Telur;"Tim nasi merah bersama kuning telur, wortel, jagung manis, dan kaldu ayam. Aduk rata.

Tambahkan tomat dan garam, aduk kembali sampai rata. Lanjutkan memasak sampai maatng.";12;24;Nasi Tim;7500;535,8;17,7;6,2;2,6;1,5;Penambah Berat Badan;Nasi, Kaldu Ayam, Telur;recipes/nasi_tim_telur.jpg
231;Singkong Kukus Campur Keju;"MPASI singkong kukus campur keju kaya akan karbohidrat, kalsium, dan protein yang baik untuk mendukung energi, pertumbuhan tulang, serta perkembangan si kecil. Perpaduan rasa gurih keju dan manis alami singkong membuat menu ini lezat dan cocok menjadi camilan sehat pilihan bunda.
";"100 g bit

200 ml susu kedelai

200 g singkong

1 buah pisang ambon

30 g keju parut

50 g mangga arum manis";Singkong, Keju;"Blender bit dan susu kedelai, saring dan sisihkan.

Campur dengan singkong, pisang ambon, dan keju. Aduk rata.

Siapkan wadah tahan panas, olesi margarin. Tuang adonan dan kukus selama 30 menit.

Taburi potongan mangga diatasnya.";12;24;Makanan Jari;5000;720,5;15,9;10,9;3,1;2,1;Penambah Berat Badan;Singkong, Keju, Susu Kedelai;recipes/singkong_kukus_campur_keju.jpg
